;clip_index;movie_id;annotator;label;concepts;comment;start_frame;end_frame;imdb_key;movie_title;framerate;text;label_speech;start_clip;end_clip;label_audio
10;id_10;48;annotator_1;Hard Negative;['Voice', 'Clothing'];['wife quickly dismissed with a kiss and phrase'];28207;28426;tt0097576;Indiana Jones and the Last Crusade;23.976;The one the students hope they don't get. Walter, you're neglecting your guests. Be along in a moment, dear.;0;1762;1776;1
11;id_11;48;annotator_1;Easy Negative;[];[];28427;30725;tt0097576;Indiana Jones and the Last Crusade;23.976;"Hard to resist, isn't it? The Holy Grail's final resting place described in detail. What good is it? This grail tablet speaks of deserts and mountains and canyons. It's pretty vague. Where do you want to start looking? Maybe if the tablet were intact, you'd have something to go on, but the entire top portion is missing. Just the same, an attempt to recover the Grail is currently underway. Let me tell you another bedtime story, Dr.Jones. After the Grail was entrusted to Joseph of Arimathea, it disappeared, and was lost for a thousand years before it was found again by three knights of the First Crusade. Three brothers, to be exact. I've heard this one, as well. Two of these brothers walked out of the desert 150 years after having found the Grail and began the long journey back to France, but only one of them made it. And before dying of extreme old age, he supposedly imparted his tale to a... to a Franciscan friar, I think. Not ""supposedly,"" Dr.Jones. This is the manuscript in which the friar chronicled the knight's story. It doesn't reveal the location of the Grail, I'm afraid, but the knight promised that two markers, that had been left behind, would. This tablet is one of those markers. It proves the knight's story is true. But as you pointed out, it's incomplete. Now, the second marker is entombed with the knight's dead brother. Our project leader believes that tomb to be located within the city of Venice, Italy.";0;1776;1920;0
12;id_12;48;annotator_1;Easy Negative;[];[];30726;37080;tt0097576;Indiana Jones and the Last Crusade;23.976;"As you can now see, Dr.Jones, we're about to complete a great quest that began almost 2,000 years ago. We're only one step away. That's usually when the ground falls out from underneath your feet. You could be more right than you know. Yes? We've hit a snag. Our project leader has vanished, along with all his research. Uh, we received a cable from his colleague, Dr.Schneider, who has no idea of his whereabouts or what's become of him. I want you to pick up the trail where he left off. Find the man, and you will find the Grail. You've got the wrong Jones, Mr.Donovan. Why don't you try my father? We already have. Your father is the man who has disappeared. Your father and I have been friends since time began. I've watched you grow up, Indy. I've watched the two of you grow apart. I've never seen you this concerned about him before. Dad? He's an academic; a bookworm. He's not a field man. Dad? Dad? Dear God. What has the old fool got himself into now? I don't know, but whatever it is, he's in over his head. Dad? It's today's mail, and it's been opened. Mail. That's it, Marcus. Venice, Italy. What is it? It's Dad's Grail diary. Every clue he followed. Every discovery he made. A complete record of his search for the Holy Grail. This is his whole life. Why would he have sent this to me? I don't know, but someone must want it pretty badly. Do you believe, Marcus? Do you believe the Grail actually exists? The search for the Cup of Christ is the search for the divine in all of us. But if you want facts, Indy, I've none to give you. At my age, I'm prepared to take a few things on faith. Call Donovan, Marcus. Tell him I'll take that ticket to Venice now. I'll tell him we'll take two. All right, tell me what's going to happen when we get to Venice. Don't worry, Dr.Schneider will be there to meet you. Uh, Schneider? I maintain an apartment in Venice. It's at your disposal. Oh, well, that's good. Thank you. Dr.Jones... good luck. Now be very careful. Don't trust anybody. Signora? Signorina? Ah, Venice... Yes. Uh, how will we recognize this Dr.Schneider when we see him? I don't know. Maybe he'll know us. Dr.Jones?";0;1920;2317;0
13;id_13;48;annotator_1;Sure;['Voice', 'Speech', 'Narratology'];[];37081;37114;tt0097576;Indiana Jones and the Last Crusade;23.976;Dr.Jones?;1;2317;2319;1
14;id_14;48;annotator_1;Sure;['Voice', 'Appearance', 'Clothing', 'Speech', 'Look', 'Narratology'];"[""flirting, overdoing makeup, femme fatale, jone looking at her like he's going to eat her""]";37115;37676;tt0097576;Indiana Jones and the Last Crusade;23.976;Dr.Jones? Yes? I knew it was you. You have your father's eyes. And my mother's ears, but the rest belongs to you. Looks like the best parts have already been spoken for. Marcus Brody? That's right. Dr. Elsa Schneider. Oh, how do you do? The last time I saw your father, we were in the library.;1;2319;2354;1
15;id_15;48;annotator_1;Sure;['Appearance', 'Clothing', 'Speech', 'Look'];['jones still flirting. unadapted clothing'];37677;39331;tt0097576;Indiana Jones and the Last Crusade;23.976;The last time I saw your father, we were in the library. He was very close to tracking down the knight's tomb. I've never seen him so excited. He was as giddy as a schoolboy. Who? Attila the Professor? He was never giddy, even when he was a schoolboy. Fraulein, will you permit me? I usually don't. I usually don't, either. In that case, I permit you. It would make me very happy. But I'm already sad. By tomorrow, it will have faded. Tomorrow I'll steal you another. I hate to interrupt you, but the reason we're here... Yes. I have something to show you. I left your father working in the library. He sent me to the map section to fetch an ancient plan of the city. When I got back to his table, he'd gone, with all his papers, except for that scrap, which I found near his chair. Roman numerals. Here is the library. That doesn't look much like a library. Looks like a converted church. In this case, it's the literal truth. We are on holy ground. These columns over here were brought back as spoils of war after the sacking of Byzantium during the Crusades. Now, please excuse me. The library's closing in a few moments. I'll arrange for us to stay a little longer.;1;2354;2458;0
16;id_16;48;annotator_1;Easy Negative;[];[];39332;39969;tt0097576;Indiana Jones and the Last Crusade;23.976;Marcus... I've seen this window before. Where? Right here, in Dad's diary. You see? Look, Indy. The Roman numerals. Dad was onto something here. Well, now we know the source of the numbers,;0;2458;2498;0
17;id_17;48;annotator_1;Hard Negative;['Type of shot', 'Appearance', 'Posture'];[];39970;40427;tt0097576;Indiana Jones and the Last Crusade;23.976;Well, now we know the source of the numbers, but we still don't know what they mean. Dad sent me this diary for a reason. Until we find out why, I suggest we keep it to ourselves. Find something? Uh, yes. Three, seven and ten. That window seems to be the source of the Roman numerals. My God, I must be blind. Dad wasn't looking for a book about the knight's tomb, he was looking for the tomb itself.;0;2498;2526;0
18;id_18;48;annotator_1;Easy Negative;[];['rely on jones, flattering'];40428;43136;tt0097576;Indiana Jones and the Last Crusade;23.976;"Don't you get it? The tomb is somewhere in the library. You said yourself it used to be a church. Look. Three. Three. Seven. Seven. Ten. And ten. Now where's the ten? Look around for the ten. Three and seven. Seven and seven and ten. Ten. ""X"" marks the spot.";0;2526;2695;0
19;id_19;48;annotator_1;Sure;['Appearance', 'Clothing', 'Posture', 'Speech', 'Exp of emotion'];['rely on jones, flattering him'];43137;43774;tt0097576;Indiana Jones and the Last Crusade;23.976;Bingo. You don't disappoint, Dr.Jones. You're a great deal like your father. Except he's lost, and I'm not. Lower me down. Look after this for me, will you?;1;2696;2735;0
20;id_20;48;annotator_1;Easy Negative;[];[];43775;44111;tt0097576;Indiana Jones and the Last Crusade;23.976;Look after this for me, will you?;0;2735;2756;0
21;id_21;48;annotator_1;Hard Negative;['Voice', 'Clothing'];[];44112;44780;tt0097576;Indiana Jones and the Last Crusade;23.976;Come on. Pagan symbols. Fourth or fifth century. Right. 600 years before the Crusades. The Christians would have dug their own passages and burial chambers centuries later. That's right. If there's a knight of the First Crusade down here, that's where we'll find him.;0;2757;2798;1
22;id_22;48;annotator_1;Easy Negative;[];[];44781;45503;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;2798;2843;0
23;id_23;48;annotator_1;Hard Negative;['Voice', 'Appearance', 'Clothing'];[];45504;45740;tt0097576;Indiana Jones and the Last Crusade;23.976;What's this one? The Ark of the Covenant. Are you sure? Pretty sure.;0;2844;2858;1
24;id_24;48;annotator_1;Hard Negative;['Appearance'];[];45741;46330;tt0097576;Indiana Jones and the Last Crusade;23.976;Watch out.;0;2858;2895;0
25;id_25;48;annotator_1;Hard Negative;['Appearance'];[];46331;47104;tt0097576;Indiana Jones and the Last Crusade;23.976;It's petroleum. I should sink a well down here and retire. Give me the lighter.;0;2895;2943;0
26;id_26;48;annotator_1;Hard Negative;['Appearance', 'Clothing'];[];47105;47397;tt0097576;Indiana Jones and the Last Crusade;23.976;Oh, rats. Ugh!;0;2944;2962;0
27;id_27;48;annotator_1;Sure;['Voice', 'Posture', 'Exp of emotion'];['fireman carry'];47398;47944;tt0097576;Indiana Jones and the Last Crusade;23.976;Come on.;0;2962;2996;1
28;id_28;48;annotator_1;Easy Negative;[];[];47945;48261;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;2996;3016;0
29;id_29;48;annotator_1;Hard Negative;['Body'];[];48262;48533;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;3016;3033;0
30;id_30;48;annotator_1;Hard Negative;['Appearance'];[];48534;48698;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;3033;3043;0
31;id_31;48;annotator_1;Sure;['Voice', 'Appearance', 'Clothing'];[];48699;51012;tt0097576;Indiana Jones and the Last Crusade;23.976;Come here. Look, it... it must be one of these. Look at the artistry of these carvings, and the scrollwork. It's this one. This is it. We found it. Look. The engraving on the shield, it's the same as on the Grail tablet. The shield is the second marker. What's that? It's a rubbing Dad made of the Grail tablet. Just like your father giddy as a schoolboy. Wouldn't it be wonderful if he were here now to see this? He never would have made it past the rats. He hates rats. He's scared to death of them.;0;3043;3188;1
32;id_32;48;annotator_1;Easy Negative;[];[];51013;51240;tt0097576;Indiana Jones and the Last Crusade;23.976;He's scared to death of them.;0;3188;3202;0
33;id_33;48;annotator_1;Hard Negative;['Voice', 'Appearance', 'Clothing', 'Exp of emotion'];[];51241;52047;tt0097576;Indiana Jones and the Last Crusade;23.976;Get back! Back against the wall. Quick! Under it! Air pocket! Don't wander off. What? What?!;0;3202;3252;1
34;id_34;48;annotator_1;Easy Negative;[];[];52048;52246;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;3253;3265;0
35;id_35;48;annotator_1;Sure;['Voice', 'Appearance', 'Clothing', 'Exp of emotion'];[];52247;52580;tt0097576;Indiana Jones and the Last Crusade;23.976;I think I've found a way out. Deep breath.;0;3265;3286;1
36;id_36;48;annotator_1;Easy Negative;[];[];52581;53043;tt0097576;Indiana Jones and the Last Crusade;23.976;Ah, Venice.;0;3286;3315;0
37;id_37;48;annotator_1;Hard Negative;['Appearance', 'Clothing', 'Posture'];['dragging her along like an accessory'];53044;53558;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;3315;3347;0
38;id_38;48;annotator_1;Easy Negative;[];[];53559;54134;tt0097576;Indiana Jones and the Last Crusade;23.976;Whoa!;0;3347;3383;0
39;id_39;48;annotator_1;Hard Negative;['Voice', 'Appearance', 'Clothing', 'Exp of emotion'];[];54135;54705;tt0097576;Indiana Jones and the Last Crusade;23.976;Are you crazy?! Don't go between them! Go between them? Are you crazy?!;0;3383;3419;1
40;id_40;48;annotator_1;Easy Negative;[];[];54706;54925;tt0097576;Indiana Jones and the Last Crusade;23.976;Go between them? Are you crazy?!;0;3419;3432;0
41;id_41;48;annotator_1;Hard Negative;['Speech', 'Exp of emotion'];['chiding her'];54926;55141;tt0097576;Indiana Jones and the Last Crusade;23.976;I said go around! You said go between them! I said, don't go between them!;1;3432;3446;0
42;id_42;48;annotator_1;Easy Negative;[];[];55142;56669;tt0097576;Indiana Jones and the Last Crusade;23.976;No!;0;3446;3541;0
43;id_43;48;annotator_1;Hard Negative;['Appearance', 'Clothing'];[];56670;56779;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;3541;3548;0
44;id_44;48;annotator_1;Easy Negative;[];[];56780;57746;tt0097576;Indiana Jones and the Last Crusade;23.976;Why are you trying to kill us? Because you're looking for the Holy Grail. My father was looking for the Holy Grail. Did you kill him too? No. Where is he? Talk or you're dead. Damn it, tell me! Tell me! If you don't let go, Dr.Jones, we'll both die. Then we'll die. My soul is prepared. How's yours? This is your last chance. No, Dr.Jones, it's yours.;0;3548;3609;0
45;id_45;48;annotator_1;Easy Negative;[];[];57747;61375;tt0097576;Indiana Jones and the Last Crusade;23.976;"All right, where's my father? If you let me go, I will tell you where he is. Who are you? My name is Kazim. And why were you trying to kill me? The secret of the Grail has been safe for a thousand years, and for all that time, the Brotherhood of the Cruciform Sword have been prepared to do anything to keep it safe. Let me off at this jetty. Ask yourself, why do you seek the Cup of Christ? Is it for His glory, or for yours? I didn't come for the Cup of Christ. I came to find my father. In that case, God be with you in your quest. Your father is being held in the Castle of Brunwald, on the AustrianGerman border. How's the head? It's better, now I've seen this. It's the name of a city. ""Alexandretta""? Hmm... The knights of the First Crusade laid siege to the city of Alexandretta for over a year. The entire city was destroyed. The present city of Iskenderun is built on its ruins. Marcus, you remember what the Grail tablet said: ""Across the desert and through the mountain to the Canyon of the Crescent Moon."" But where exactly? Your father would know. Mm. Your father did know. Look. He made a map. He must have pieced it together from clues scattered through the whole history of the Grail quest. A map with no names. Now, he knew there was a city with an oasis due east, here. He knew the course turned south through the desert to a river, and the river led into the mountains, here. Straight to the canyon. He knew everything except where to begin, the name of the city. Alexandretta. Now we know. Yes. Now we know. Marcus, get hold of Sallah. Tell him to meet you in Iskenderun. What about you? I'm going after Dad.";0;3609;3835;0
46;id_46;48;annotator_1;Easy Negative;[];[];61376;61904;tt0097576;Indiana Jones and the Last Crusade;23.976;Elsa? Elsa? Elsa?;0;3836;3868;0
47;id_47;48;annotator_1;Sure;['Body', 'Voice', 'Appearance', 'Clothing', 'Posture', 'Speech', 'Look', 'Exp of emotion', 'Soundtrack'];[];61905;64035;tt0097576;Indiana Jones and the Last Crusade;23.976;Elsa? Elsa? Oh! Oh... My room... Mine, too. What were they looking for? This. The Grail diary? Uhhuh. You had it? You didn't trust me. I didn't know you. At least I let you tag along. Oh, yes. Give them a flower, and they'll follow you anywhere. Knock it off. You're not mad. No? No. You like the way I do things. It's lucky I don't do things the same way. You'd still be standing at the Venice pier! Look, what do you think is going on here? Since I met you, I've nearly been incinerated, drowned, shot at, and chopped into fish bait. We're caught in the middle of something sinister here. My guess is Dad found out more than he was looking for. And until I'm sure, I'm going to continue to do things the way I think they should be done. How dare you kiss me! Leave me alone. I don't like fast women. And I hate... arrogant men.;1;3869;4002;1
48;id_48;48;annotator_1;Sure;['Type of shot', 'Posture', 'Soundtrack'];[];64036;64341;tt0097576;Indiana Jones and the Last Crusade;23.976;Ah, Venice.;0;4002;4021;1
49;id_49;48;annotator_1;Easy Negative;[];[];64342;67308;tt0097576;Indiana Jones and the Last Crusade;23.976;What do you know about this place? I know the Brunwalds are famous art collectors. What are you going to do? Don't know. I'll think of something. Yes? And not before time! Did you intend to leave us standing on the doorstep all day? We're drenched! Now look, I've gone and caught a sniffle. Are you expected? Do not take that tone with me, my good man. Now buttle off and tell Baron Brunwald that Lord Clarence MacDonald and his lovely assistant... ...are here to view the tapestries. Tapestries? Dear me, the man is dense. This is a castle, isn't it? There are tapestries? This is a castle, and we have many tapestries. But if you are a Scottish lord, then I am Mickey Mouse! How dare he? Nazis. I hate these guys.;0;4021;4206;0
50;id_50;48;annotator_1;Hard Negative;['Clothing'];[];67309;68566;tt0097576;Indiana Jones and the Last Crusade;23.976;This one. I think he's in here. How do you know? Because it's wired. Indy? Indy? Don't worry... this is kid's play. I'll be right back.;0;4206;4285;0
51;id_51;48;annotator_1;Easy Negative;[];[];68567;74369;tt0097576;Indiana Jones and the Last Crusade;23.976;"Junior? Yes, sir. It is you, Junior! Don't call me that, please. Well, what are you doing here? I came to get you. What do you thi...? Late 14th century, Ming dynasty. Oh, it breaks the heart. And the head. You hit me, Dad. I'll never forgive myself. Don't worry, I'm fine. Thank God. It's fake. See, you can tell by the cross section. No! Dad, get your stuff. We've got to get out of here. Well, I'm sorry about your head, though, but I thought you were one of them. Dad, they come in through the doors. Good point. But better safe than sorry. Hmm, so I was wrong this time. But, by God, I wasn't wrong when I mailed you my diary. You obviously got it. I got it, and I used it. We found the entrance to the catacombs. Through the library? Right. I knew it. And the tomb of Sir Richard? Found it. He was actually there? You saw him? Well, what was left of him. And his shield... the inscription on Sir Richard's shield? ""Alexandretta."" Alexandretta! Of course! On the pilgrim trail from the Eastern Empire. Oh... Junior, you did it. No, Dad. You did. Forty years. Oh, if only I could have been with you. There were rats, Dad. Rats? Yeah, big ones. What do the Nazis want with you, Dad? They wanted my diary. Yeah? I knew I had to get that book as far away from me as I possibly could. Yeah. Dr.Jones. Yes? I will take the book now. What book? You have the diary in your pocket. You dolt! Do you think my son would be that stupid that he would bring my diary all the way back here? You didn't, did you? You didn't bring it, did you? Well, uh... You did. Look, can we discuss this later? I should have mailed it to the Marx Brothers. Will you take it easy? Take it easy?! Why do you think I sent it home in the first place? So it wouldn't fall into their hands! I came here to save you! Oh, yeah? And who's gonna come to save you, Junior? I told you... ...don't call me Junior! Look what you did! I can't believe what you did... Elsa? Elsa?";0;4285;4648;0
52;id_52;48;annotator_1;Sure;['Appearance', 'Posture', 'Look', 'Exp of emotion', 'Narratology'];['used as a  pawn'];74370;75909;tt0097576;Indiana Jones and the Last Crusade;23.976;Elsa? Elsa? That's far enough. Put down the gun, Dr.Jones. Put down the gun, or the fraulein dies. But she's one of them. Indy, please! She's a Nazi. What?! Trust me. Indy, no! I will kill her! Yeah? Go ahead! No! Don't shoot! Don't worry. He won't. Indy, please! Do what he says! And don't listen to her. Enough! She dies! Wait! Wait... I'm sorry. No, don't be. But... you should have listened to your father.;0;4648;4744;0
53;id_53;48;annotator_1;Easy Negative;[];[];75910;77619;tt0097576;Indiana Jones and the Last Crusade;23.976;She ransacked her own room, and I fell for it. How did you know she was a Nazi? Hmm? How did you know she was a Nazi? She talks in her sleep. I didn't trust her. Why did you? Because he didn't take my advice. Donovan. Didn't I warn you not to trust anybody, Dr.Jones? I misjudged you, Walter. I knew you would sell your mother for an Etruscan vase, but I didn't know you would sell your country and your soul to the slime of humanity. Dr.Schneider... there are pages torn out of this.;0;4744;4851;0
54;id_54;48;annotator_1;Hard Negative;['Clothing'];['deep v'];77620;78867;tt0097576;Indiana Jones and the Last Crusade;23.976;This book contained a map, a map with no names, precise directions from the unknown city to the secret Canyon of the Crescent Moon. So it did. Where are these missing pages, this map? We must have these pages back. You're wasting your breath. He won't tell us, and he doesn't have to. It's perfectly obvious where the pages are. He's given them to Marcus Brody. Marcus? You didn't drag poor Marcus along, did you? He's not up to the challenge. He sticks out like a sore thumb. We'll find him. The hell you will. He's got a twoday head start on you, which is more than he needs. Brody's got friends in every town and village from here to the Sudan. He speaks a dozen languages, knows every local custom. He'll blend in, disappear. You'll never see him again. With any luck, he's got the Grail already.;0;4851;4929;0
55;id_55;48;annotator_1;Easy Negative;[];[];78868;82264;tt0097576;Indiana Jones and the Last Crusade;23.976;"With any luck, he's got the Grail already. Does anyone here speak English? Or even ancient Greek? Uh, water? No, thank you, sir. No. Fish make love in it. Goodness me. Thank you so much. No, I don't like that. No, I really don't want... No, no, thank you very much. No, thank you, madam. I'm a vegetarian. Does anyone understand a word I'm saying here? Mr.Brody! Oh, Sallah. What a relief. Marcus Brody, sir. But where is Indy? Oh, he's in Austria. A slight detour. You are on your own? Yes, but don't panic. Everything's under control. Have you, have you arranged our supplies? Oh, yes, of course. But where are we going? Oh, this map will show you. It was drawn by, uh... Mr.Brody. Welcome to Iskenderun. The director of the Museum of Antiquities has sent a car for you. Oh, well... your servant, sir. And I am his. Follow me, please. My reputation precedes me. There is no museum in Iskenderun. Papers, please. Papers? Of course. Run. Yes. Papers. Got it here. Just finished reading it myself. Run. Yes. ""Egyptian Mail,"" morning edition. Run. Did you say, uh... Run! Okay, okay, quick, quick, quick! Find the back door! Find the back door! Intolerable. Dr.Schneider. Message from Berlin. You must return immediately. A rally at the Institute of Aryan Culture. So? Your presence on the platform is requested at the highest level. Thank you, Herr Oberst. I will meet you at Iskenderun. Take this diary to the Reichmuseum in Berlin. It will show them our progress, ahead of schedule. Without the map, I'm afraid it's no better than a souvenir. Let me kill them now. No. If we fail to recover the pages from Brody, we'll need them alive. Always do what the doctor orders.";0;4929;5141;0
56;id_56;48;annotator_1;Sure;['Voice', 'Appearance', 'Clothing', 'Posture', 'Speech', 'Look'];[];82265;83824;tt0097576;Indiana Jones and the Last Crusade;23.976;Don't look at me like that. We both wanted the Grail. I would have done anything to get it. You would have done the same. I'm sorry you think so. I can't forget how wonderful it was. Thank you. It was rather wonderful. Oh, Dr.Schneider. Your car is waiting. That's how Austrians say goodbye.;1;5141;5238;1
